ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742125::Definition,1073742126::Name,1075848986::Value,1075849176::Physical Name
"1075839019::38","NULL",Default Value,"","NULL","NULL","NULL"
"1075839019::39","USER",Default Value,"","USER","USER","USER"
"1075839019::40","CURRENT_TIMESTAMP",Default Value,"","CURRENT_TIMESTAMP","CURRENT_TIMESTAMP","CURRENT_TIMESTAMP"
"1075839019::41","CURRENT_USER",Default Value,"","CURRENT_USER","CURRENT_USER","CURRENT_USER"
"1075839019::42","SESSION_USER",Default Value,"","SESSION_USER","SESSION_USER","SESSION_USER"
"1075839019::43","SYSTEM_USER",Default Value,"","SYSTEM_USER","SYSTEM_USER","SYSTEM_USER"
"1075839019::11292","DF_Sales_BuyingGroups_BuyingGroupID",Default Value,"","DF_Sales_BuyingGroups_BuyingGroupID","NEXT VALUE FOR [Sequences].[BuyingGroupID]","DF_Sales_BuyingGroups_BuyingGroupID"
"1075839019::11318","DF_Application_Cities_CityID",Default Value,"","DF_Application_Cities_CityID","NEXT VALUE FOR [Sequences].[CityID]","DF_Application_Cities_CityID"
"1075839019::11364","DF_Warehouse_Colors_ColorID",Default Value,"","DF_Warehouse_Colors_ColorID","NEXT VALUE FOR [Sequences].[ColorID]","DF_Warehouse_Colors_ColorID"
"1075839019::11396","DF_Application_Countries_CountryID",Default Value,"","DF_Application_Countries_CountryID","NEXT VALUE FOR [Sequences].[CountryID]","DF_Application_Countries_CountryID"
"1075839019::11431","DF_Sales_CustomerCategories_CustomerCategoryID",Default Value,"","DF_Sales_CustomerCategories_CustomerCategoryID","NEXT VALUE FOR [Sequences].[CustomerCategoryID]","DF_Sales_CustomerCategories_CustomerCategoryID"
"1075839019::11480","DF_Sales_Customers_CustomerID",Default Value,"","DF_Sales_Customers_CustomerID","NEXT VALUE FOR [Sequences].[CustomerID]","DF_Sales_Customers_CustomerID"
"1075839019::11564","DF_Sales_CustomerTransactions_CustomerTransactionID",Default Value,"","DF_Sales_CustomerTransactions_CustomerTransactionID","NEXT VALUE FOR [Sequences].[TransactionID]","DF_Sales_CustomerTransactions_CustomerTransactionID"
"1075839019::11566","DF_Sales_CustomerTransactions_LastEditedWhen",Default Value,"","DF_Sales_CustomerTransactions_LastEditedWhen","sysdatetime()","DF_Sales_CustomerTransactions_LastEditedWhen"
"1075839019::11634","DF_Application_DeliveryMethods_DeliveryMethodID",Default Value,"","DF_Application_DeliveryMethods_DeliveryMethodID","NEXT VALUE FOR [Sequences].[DeliveryMethodID]","DF_Application_DeliveryMethods_DeliveryMethodID"
"1075839019::11702","DF_Sales_InvoiceLines_InvoiceLineID",Default Value,"","DF_Sales_InvoiceLines_InvoiceLineID","NEXT VALUE FOR [Sequences].[InvoiceLineID]","DF_Sales_InvoiceLines_InvoiceLineID"
"1075839019::11704","DF_Sales_InvoiceLines_LastEditedWhen",Default Value,"","DF_Sales_InvoiceLines_LastEditedWhen","sysdatetime()","DF_Sales_InvoiceLines_LastEditedWhen"
"1075839019::11751","DF_Sales_Invoices_InvoiceID",Default Value,"","DF_Sales_Invoices_InvoiceID","NEXT VALUE FOR [Sequences].[InvoiceID]","DF_Sales_Invoices_InvoiceID"
"1075839019::11755","DF_Sales_Invoices_LastEditedWhen",Default Value,"","DF_Sales_Invoices_LastEditedWhen","sysdatetime()","DF_Sales_Invoices_LastEditedWhen"
"1075839019::11820","DF_Sales_OrderLines_OrderLineID",Default Value,"","DF_Sales_OrderLines_OrderLineID","NEXT VALUE FOR [Sequences].[OrderLineID]","DF_Sales_OrderLines_OrderLineID"
"1075839019::11822","DF_Sales_OrderLines_LastEditedWhen",Default Value,"","DF_Sales_OrderLines_LastEditedWhen","sysdatetime()","DF_Sales_OrderLines_LastEditedWhen"
"1075839019::11878","DF_Sales_Orders_OrderID",Default Value,"","DF_Sales_Orders_OrderID","NEXT VALUE FOR [Sequences].[OrderID]","DF_Sales_Orders_OrderID"
"1075839019::11880","DF_Sales_Orders_LastEditedWhen",Default Value,"","DF_Sales_Orders_LastEditedWhen","sysdatetime()","DF_Sales_Orders_LastEditedWhen"
"1075839019::11902","DF_Warehouse_PackageTypes_PackageTypeID",Default Value,"","DF_Warehouse_PackageTypes_PackageTypeID","NEXT VALUE FOR [Sequences].[PackageTypeID]","DF_Warehouse_PackageTypes_PackageTypeID"
"1075839019::11925","DF_Application_PaymentMethods_PaymentMethodID",Default Value,"","DF_Application_PaymentMethods_PaymentMethodID","NEXT VALUE FOR [Sequences].[PaymentMethodID]","DF_Application_PaymentMethods_PaymentMethodID"
"1075839019::11964","DF_Application_People_PersonID",Default Value,"","DF_Application_People_PersonID","NEXT VALUE FOR [Sequences].[PersonID]","DF_Application_People_PersonID"
"1075839019::12291","DF_Purchasing_PurchaseOrderLines_PurchaseOrderLineID",Default Value,"","DF_Purchasing_PurchaseOrderLines_PurchaseOrderLineID","NEXT VALUE FOR [Sequences].[PurchaseOrderLineID]","DF_Purchasing_PurchaseOrderLines_PurchaseOrderLineID"
"1075839019::12293","DF_Purchasing_PurchaseOrderLines_LastEditedWhen",Default Value,"","DF_Purchasing_PurchaseOrderLines_LastEditedWhen","sysdatetime()","DF_Purchasing_PurchaseOrderLines_LastEditedWhen"
"1075839019::12323","DF_Purchasing_PurchaseOrders_PurchaseOrderID",Default Value,"","DF_Purchasing_PurchaseOrders_PurchaseOrderID","NEXT VALUE FOR [Sequences].[PurchaseOrderID]","DF_Purchasing_PurchaseOrders_PurchaseOrderID"
"1075839019::12325","DF_Purchasing_PurchaseOrders_LastEditedWhen",Default Value,"","DF_Purchasing_PurchaseOrders_LastEditedWhen","sysdatetime()","DF_Purchasing_PurchaseOrders_LastEditedWhen"
"1075839019::12454","DF_Sales_SpecialDeals_SpecialDealID",Default Value,"","DF_Sales_SpecialDeals_SpecialDealID","NEXT VALUE FOR [Sequences].[SpecialDealID]","DF_Sales_SpecialDeals_SpecialDealID"
"1075839019::12456","DF_Sales_SpecialDeals_LastEditedWhen",Default Value,"","DF_Sales_SpecialDeals_LastEditedWhen","sysdatetime()","DF_Sales_SpecialDeals_LastEditedWhen"
"1075839019::12572","DF_Application_StateProvinces_StateProvinceID",Default Value,"","DF_Application_StateProvinces_StateProvinceID","NEXT VALUE FOR [Sequences].[StateProvinceID]","DF_Application_StateProvinces_StateProvinceID"
"1075839019::12606","DF_Warehouse_StockGroups_StockGroupID",Default Value,"","DF_Warehouse_StockGroups_StockGroupID","NEXT VALUE FOR [Sequences].[StockGroupID]","DF_Warehouse_StockGroups_StockGroupID"
"1075839019::12633","DF_Warehouse_StockItemHoldings_LastEditedWhen",Default Value,"","DF_Warehouse_StockItemHoldings_LastEditedWhen","sysdatetime()","DF_Warehouse_StockItemHoldings_LastEditedWhen"
"1075839019::12663","DF_Warehouse_StockItems_StockItemID",Default Value,"","DF_Warehouse_StockItems_StockItemID","NEXT VALUE FOR [Sequences].[StockItemID]","DF_Warehouse_StockItems_StockItemID"
